election_year,term_start,mayor,vote_percentage,vote_count,perks,event,other_candidates
354,"June 14, 2024",Aatrox,59.10%,"691,912.00",[2],,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""19.7%"", ""vote_count"": ""230348""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""12.1%"", ""vote_count"": ""141800""}, {""mayor"": ""Diana"", ""vote_percentage"": ""5.2%"", ""vote_count"": ""61360""}, {""mayor"": ""Marina"", ""vote_percentage"": ""3.8%"", ""vote_count"": ""44886""}]"
353,"June 9, 2024",Paul,74.30%,"804,599.00","[2, 3]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""15.6%"", ""vote_count"": ""168863""}, {""mayor"": ""Diana"", ""vote_percentage"": ""3.9%"", ""vote_count"": ""42639""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""3.1%"", ""vote_count"": ""34031""}, {""mayor"": ""Marina"", ""vote_percentage"": ""3.1%"", ""vote_count"": ""33487""}]"
352,"June 4, 2024",Jerry,95.90%,"1,201,579.00","[1, 2, 3]",,"[{""mayor"": ""Paul"", ""vote_percentage"": ""2.0%"", ""vote_count"": ""24530""}, {""mayor"": ""Marina"", ""vote_percentage"": ""0.8%"", ""vote_count"": ""10388""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""0.8%"", ""vote_count"": ""10155""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""0.5%"", ""vote_count"": ""6099""}]"
351,"May 30, 2024",Diana,59.60%,"667,548.00",[2],,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""20.4%"", ""vote_count"": ""228516""}, {""mayor"": ""Paul"", ""vote_percentage"": ""12.8%"", ""vote_count"": ""143359""}, {""mayor"": ""Marina"", ""vote_percentage"": ""4.1%"", ""vote_count"": ""45772""}, {""mayor"": ""Cole"", ""vote_percentage"": ""3.1%"", ""vote_count"": ""34853""}]"
350,"May 25, 2024",Finnegan,66.80%,"700,030.00","[1, 3, 2]",,"[{""mayor"": ""Paul"", ""vote_percentage"": ""16.4%"", ""vote_count"": ""172275""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""10.1%"", ""vote_count"": ""106069""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""3.5%"", ""vote_count"": ""37026""}, {""mayor"": ""Marina"", ""vote_percentage"": ""3.2%"", ""vote_count"": ""33116""}]"
349,"May 19, 2024",Aatrox,74.10%,"833,673.00","[1, 3]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""11.7%"", ""vote_count"": ""132115""}, {""mayor"": ""Paul"", ""vote_percentage"": ""8.6%"", ""vote_count"": ""96417""}, {""mayor"": ""Cole"", ""vote_percentage"": ""3.2%"", ""vote_count"": ""35489""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.4%"", ""vote_count"": ""27350""}]"
348,"May 14, 2024",Diana,80.70%,"946,721.00","[1, 2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""13.0%"", ""vote_count"": ""152149""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""2.9%"", ""vote_count"": ""33896""}, {""mayor"": ""Cole"", ""vote_percentage"": ""2.0%"", ""vote_count"": ""23835""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""1.4%"", ""vote_count"": ""16903""}]"
347,"May 9, 2024",Paul,53.90%,"605,557.00",[2],,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""34.1%"", ""vote_count"": ""383721""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""5.0%"", ""vote_count"": ""56520""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""4.5%"", ""vote_count"": ""50942""}, {""mayor"": ""Marina"", ""vote_percentage"": ""2.4%"", ""vote_count"": ""27481""}]"
346,"May 4, 2024",Cole,59.40%,"632,563.00","[2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""20.9%"", ""vote_count"": ""222087""}, {""mayor"": ""Diana"", ""vote_percentage"": ""9.6%"", ""vote_count"": ""102085""}, {""mayor"": ""Paul"", ""vote_percentage"": ""6.1%"", ""vote_count"": ""64884""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""4.0%"", ""vote_count"": ""42418""}]"
345,"April 29, 2024",Aatrox,78.40%,"990,911.00","[1, 2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""11.9%"", ""vote_count"": ""150786""}, {""mayor"": ""Cole"", ""vote_percentage"": ""5.6%"", ""vote_count"": ""70728""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.1%"", ""vote_count"": ""27084""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""1.9%"", ""vote_count"": ""24362""}]"
344,"April 24, 2024",Derpy,95.50%,"1,142,175.00","[2, 1, 3, 4]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""1.9%"", ""vote_count"": ""22444""}, {""mayor"": ""Diana"", ""vote_percentage"": ""1.2%"", ""vote_count"": ""14586""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""0.9%"", ""vote_count"": ""10559""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""0.5%"", ""vote_count"": ""5697""}]"
